id,,loc_var_numeric,tAI,ARE,hl,TPU.length
1,loc_var_numeric,1.0,-0.11535919795908131,0.07201799364928096,-0.31789901632630885,0.012577990094284432
1,tAI,-0.11535919795908131,1.0,-0.20023836655173657,0.18784070745940748,-0.09826219188632496
1,ARE,0.07201799364928096,-0.20023836655173657,1.0,-0.1777043041178578,0.7465520444403769
1,hl,-0.31789901632630885,0.18784070745940748,-0.1777043041178578,1.0,-0.15705144026028764
1,TPU.length,0.012577990094284432,-0.09826219188632496,0.7465520444403769,-0.15705144026028764,1.0
2,loc_var_numeric,1.0,-0.11335414416446722,0.07470371421678522,-0.21661145334929638,0.005744385993887326
2,tAI,-0.11335414416446722,1.0,-0.22288020473711814,0.205739003340242,-0.12882156669582706
2,ARE,0.07470371421678522,-0.22288020473711814,1.0,-0.20786574598708535,0.7493232052750827
2,hl,-0.21661145334929638,0.205739003340242,-0.20786574598708535,1.0,-0.20229573773844364
2,TPU.length,0.005744385993887326,-0.12882156669582706,0.7493232052750827,-0.20229573773844364,1.0
3,loc_var_numeric,1.0,-0.09680238490049807,0.061999118520573944,-0.22503756804641878,0.08040926686829926
3,tAI,-0.09680238490049807,1.0,-0.20303911173282138,0.1957149983580569,-0.0995572022561066
3,ARE,0.061999118520573944,-0.20303911173282138,1.0,-0.18367379487558677,0.7486278525119865
3,hl,-0.22503756804641878,0.1957149983580569,-0.18367379487558677,1.0,-0.16136315981514063
3,TPU.length,0.08040926686829926,-0.0995572022561066,0.7486278525119865,-0.16136315981514063,1.0
4,loc_var_numeric,1.0,-0.08878857825843858,-0.017702932389589407,-0.2147965483070226,-0.047791265430618936
4,tAI,-0.08878857825843858,1.0,-0.20159666958345518,0.19053592196872673,-0.09984870864106095
4,ARE,-0.017702932389589407,-0.20159666958345518,1.0,-0.18089766520195352,0.7473065772973434
4,hl,-0.2147965483070226,0.19053592196872673,-0.18089766520195352,1.0,-0.1592478322978459
4,TPU.length,-0.047791265430618936,-0.09984870864106095,0.7473065772973434,-0.1592478322978459,1.0
5,loc_var_numeric,1.0,-0.0618177130918927,-0.04887867513984944,-0.1314438469455758,-0.05903974957829959
5,tAI,-0.0618177130918927,1.0,-0.20546290834127529,0.18772365727918167,-0.10081881043455274
5,ARE,-0.04887867513984944,-0.20546290834127529,1.0,-0.1778366693692317,0.7478163106502147
5,hl,-0.1314438469455758,0.18772365727918167,-0.1778366693692317,1.0,-0.15716414565046635
5,TPU.length,-0.05903974957829959,-0.10081881043455274,0.7478163106502147,-0.15716414565046635,1.0
6,loc_var_numeric,1.0,-0.1054303977261074,0.02380533064986281,-0.2327495227384284,0.018903162287990976
6,tAI,-0.1054303977261074,1.0,-0.20125350797885638,0.19288423163863175,-0.10040426362935921
6,ARE,0.02380533064986281,-0.20125350797885638,1.0,-0.1790413657615721,0.749000455426249
6,hl,-0.2327495227384284,0.19288423163863175,-0.1790413657615721,1.0,-0.15767476575020573
6,TPU.length,0.018903162287990976,-0.10040426362935921,0.749000455426249,-0.15767476575020573,1.0
7,loc_var_numeric,1.0,-0.045986029820542826,-0.06713558671512916,-0.16917743757398712,-0.0916253050338247
7,tAI,-0.045986029820542826,1.0,-0.19413256201452336,0.18879900611604664,-0.09403835776880147
7,ARE,-0.06713558671512916,-0.19413256201452336,1.0,-0.17716374842774663,0.7458490696928035
7,hl,-0.16917743757398712,0.18879900611604664,-0.17716374842774663,1.0,-0.15639236198994158
7,TPU.length,-0.0916253050338247,-0.09403835776880147,0.7458490696928035,-0.15639236198994158,1.0
8,loc_var_numeric,1.0,-0.08007701839892738,-0.04326332894161494,-0.20259389120460486,-0.06625124547432118
8,tAI,-0.08007701839892738,1.0,-0.20607224239709143,0.19212093444963688,-0.1057068030922224
8,ARE,-0.04326332894161494,-0.20607224239709143,1.0,-0.18262258472821652,0.7515056369060437
8,hl,-0.20259389120460486,0.19212093444963688,-0.18262258472821652,1.0,-0.16017353389857303
8,TPU.length,-0.06625124547432118,-0.1057068030922224,0.7515056369060437,-0.16017353389857303,1.0
9,loc_var_numeric,1.0,-0.0392008041864873,0.028760520951597975,-0.1464835769091533,0.015626017657806718
9,tAI,-0.0392008041864873,1.0,-0.16156028438080322,0.07697656875950888,-0.07040677066957628
9,ARE,0.028760520951597975,-0.16156028438080322,1.0,-0.17502520570424301,0.7402922544395215
9,hl,-0.1464835769091533,0.07697656875950888,-0.17502520570424301,1.0,-0.14241644154540475
9,TPU.length,0.015626017657806718,-0.07040677066957628,0.7402922544395215,-0.14241644154540475,1.0
10,loc_var_numeric,1.0,-0.014668448026895218,0.01264959889233603,-0.08377204927643389,0.02911971887003692
10,tAI,-0.014668448026895218,1.0,-0.20838354426730127,0.20085821491286576,-0.10930585272585001
10,ARE,0.01264959889233603,-0.20838354426730127,1.0,-0.18592501722752086,0.7545781074646162
10,hl,-0.08377204927643389,0.20085821491286576,-0.18592501722752086,1.0,-0.16579013994235883
10,TPU.length,0.02911971887003692,-0.10930585272585001,0.7545781074646162,-0.16579013994235883,1.0
11,loc_var_numeric,1.0,-0.1519239198346195,0.05625295468792635,-0.2450858758883775,0.09020262795898935
11,tAI,-0.1519239198346195,1.0,-0.20744525746518716,0.2053959280927382,-0.1068687216825589
11,ARE,0.05625295468792635,-0.20744525746518716,1.0,-0.18439506259752106,0.7499406972522011
11,hl,-0.2450858758883775,0.2053959280927382,-0.18439506259752106,1.0,-0.16526804655159918
11,TPU.length,0.09020262795898935,-0.1068687216825589,0.7499406972522011,-0.16526804655159918,1.0
12,loc_var_numeric,1.0,-0.13719957950686837,0.04143462248971687,-0.24841585467820163,0.07286999238267779
12,tAI,-0.13719957950686837,1.0,-0.20765853726284594,0.20015334157082357,-0.10954299219941575
12,ARE,0.04143462248971687,-0.20765853726284594,1.0,-0.18757513956482177,0.7521778824435827
12,hl,-0.24841585467820163,0.20015334157082357,-0.18757513956482177,1.0,-0.17076631158235067
12,TPU.length,0.07286999238267779,-0.10954299219941575,0.7521778824435827,-0.17076631158235067,1.0
13,loc_var_numeric,1.0,-0.12258280664780224,0.015589779249951226,-0.32160407381878314,-0.011978979058284003
13,tAI,-0.12258280664780224,1.0,-0.19083612505518321,0.18780353644188422,-0.0925670111428549
13,ARE,0.015589779249951226,-0.19083612505518321,1.0,-0.17720949091404525,0.74731854817464
13,hl,-0.32160407381878314,0.18780353644188422,-0.17720949091404525,1.0,-0.15696311536171934
13,TPU.length,-0.011978979058284003,-0.0925670111428549,0.74731854817464,-0.15696311536171934,1.0
